Open,High,Low,Close,Adj Close,Volume,atr,upperband,lowerband,signals,buy_positions,sell_positions,investment,cumulative_balance,pl,cumPL,Max Drawdown,Profit
2264.800048828125,2334.35009765625,2250.0,2325.39990234375,2254.60107421875,4596050,44.35,2425.225048828125,2159.125048828125,,,,100.0,100.0,0.0,0.0,0.0,0.0
2338.89990234375,2344.949951171875,2266.699951171875,2284.60009765625,2215.04345703125,2231103,47.9,2425.225048828125,2162.124951171875,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
2283.5,2333.699951171875,2240.89990234375,2327.25,2256.394775390625,1843543,50.570003255208334,2425.225048828125,2162.124951171875,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
2310.0,2325.60009765625,2275.0,2295.35009765625,2225.466064453125,2620474,52.186669921875,2425.225048828125,2162.124951171875,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
2294.60009765625,2318.699951171875,2278.050048828125,2283.550048828125,2214.025146484375,1967721,51.689990234375,2425.225048828125,2162.124951171875,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
2290.0,2311.85009765625,2271.0,2273.75,2204.523681640625,1639875,52.15333658854167,2425.225048828125,2162.124951171875,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
2303.300048828125,2320.0,2278.39990234375,2305.64990234375,2235.452392578125,1270508,53.70333658854167,2425.225048828125,2162.124951171875,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
2324.10009765625,2333.0,2296.550048828125,2327.89990234375,2257.02490234375,1246111,54.37999674479167,2425.225048828125,2162.124951171875,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
2329.0,2331.949951171875,2290.0,2298.14990234375,2228.1806640625,1448039,56.00999348958333,2425.225048828125,2162.124951171875,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
2306.0,2312.75,2283.0,2306.60009765625,2236.37353515625,1014561,56.75,2425.225048828125,2162.124951171875,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
2295.25,2316.699951171875,2237.0,2257.60009765625,2188.865234375,1207402,58.05,2425.225048828125,2162.124951171875,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
2268.0,2268.0,2246.550048828125,2264.35009765625,2195.409912109375,1190660,56.2,2425.225048828125,2162.124951171875,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
2267.550048828125,2280.35009765625,2255.60009765625,2277.64990234375,2208.304931640625,1049611,54.429996744791666,2425.225048828125,2162.124951171875,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
2280.0,2285.0,2255.85009765625,2283.14990234375,2213.637451171875,1195100,52.07666015625,2425.225048828125,2162.124951171875,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
2279.0,2279.0,2249.0,2258.0,2189.253173828125,2100036,48.84998372395833,2410.549951171875,2162.124951171875,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
2220.0,2236.25,2207.0,2228.550048828125,2160.699951171875,1661501,46.626643880208334,2361.504931640625,2162.124951171875,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
2247.949951171875,2304.14990234375,2222.550048828125,2290.10009765625,2220.3759765625,1533070,46.84996744791667,2361.504931640625,2162.124951171875,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
2290.10009765625,2303.75,2275.0,2286.5,2216.885498046875,995668,42.57996419270833,2361.504931640625,2162.124951171875,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
2282.0,2313.0,2276.0,2307.550048828125,2237.29443359375,869374,41.563297526041666,2361.504931640625,2169.810107421875,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
2294.0,2327.800048828125,2294.0,2312.550048828125,2242.142578125,890713,41.106640625,2361.504931640625,2187.5801025390624,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
2298.0,2304.050048828125,2284.75,2294.800048828125,2224.932861328125,737919,40.236637369791666,2361.504931640625,2187.5801025390624,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
2280.0,2280.0,2250.10009765625,2269.949951171875,2200.83935546875,902667,40.13330078125,2361.504931640625,2187.5801025390624,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
2270.0,2273.949951171875,2252.25,2260.39990234375,2191.580078125,1324411,39.149967447916666,2361.504931640625,2187.5801025390624,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
2200.0,2242.0,2160.300048828125,2171.39990234375,2105.28955078125,2997629,43.02662760416667,2330.2299072265623,2187.5801025390624,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
2195.0,2196.0,2162.14990234375,2170.699951171875,2104.61083984375,2193728,43.299967447916664,2308.974853515625,2049.175048828125,-1.0,,2170.699951171875,100.0,101.11945682843022,0.011194568284302197,0.011194568284302197,0.0,1.1194568284302164
2164.0,2179.89990234375,2120.0,2172.10009765625,2105.968505859375,2334036,41.97996419270833,2275.88984375,2049.175048828125,0.0,,,101.11945682843022,101.11945682843022,0.0,0.011194568284302197,0.0,1.1194568284302164
2128.949951171875,2154.800048828125,2123.050048828125,2149.10009765625,2083.6689453125,2034688,43.819970703125,2270.3849609375,2049.175048828125,0.0,,,101.11945682843022,101.11945682843022,0.0,0.011194568284302197,0.0,1.1194568284302164
2157.89990234375,2167.949951171875,2086.60009765625,2091.0,2027.3377685546875,2372998,47.59329427083333,2270.0549072265626,2049.175048828125,0.0,,,101.11945682843022,101.11945682843022,0.0,0.011194568284302197,0.0,1.1194568284302164
