Open,High,Low,Close,Adj Close,Volume,atr,upperband,lowerband,signals,buy_positions,sell_positions,investment,cumulative_balance,pl,cumPL,Max Drawdown,Profit
223.3000030517578,233.8000030517578,208.8800048828125,233.72000122070312,233.38714599609375,91398200,15.259330240885417,267.1179946899414,175.5620132446289,,,,100.0,100.0,0.0,0.0,0.0,0.0
225.4600067138672,229.42999267578125,220.0,223.24000549316406,222.9220733642578,66461600,15.5566650390625,267.1179946899414,178.0450012207031,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
232.39999389648438,240.57000732421875,223.0,227.72000122070312,227.39569091796875,75595900,15.31533203125,267.1179946899414,185.83900756835936,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
235.67999267578125,239.9499969482422,216.75,219.44000244140625,219.1274871826172,57335300,15.606664021809896,267.1179946899414,185.83900756835936,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
220.1199951171875,228.5800018310547,212.9600067138672,228.39999389648438,228.07472229003906,54377400,15.732662963867188,267.1179946899414,185.83900756835936,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
231.82000732421875,245.08999633789062,230.52000427246094,244.86000061035156,244.5112762451172,56468000,15.935330200195313,267.1179946899414,189.99900970458984,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
251.0399932861328,251.4499969482422,238.89999389648438,246.3800048828125,246.0291290283203,51892500,15.555330403645833,267.1179946899414,198.50900421142578,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
257.94000244140625,258.1700134277344,245.52999877929688,252.4199981689453,252.06051635742188,54341900,15.580666097005208,267.1179946899414,205.1080078125,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
244.5800018310547,250.77000427246094,237.8000030517578,239.47999572753906,239.13894653320312,41017800,15.897330729166667,267.1179946899414,205.1080078125,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
239.72000122070312,246.35000610351562,236.32000732421875,243.19000244140625,242.84364318847656,35482900,15.24466552734375,267.1179946899414,205.1080078125,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
243.72000122070312,251.82000732421875,242.02000427246094,247.27999877929688,246.9278106689453,37686800,15.239999389648437,267.1179946899414,205.1080078125,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
243.58999633789062,252.3000030517578,239.8000030517578,251.0800018310547,250.722412109375,41035900,15.29199930826823,267.1179946899414,205.1080078125,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
256.2200012207031,267.25,253.52999877929688,267.04998779296875,266.6696472167969,52428200,15.375999959309896,267.1179946899414,214.26199951171876,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
259.95001220703125,269.25,256.0,258.239990234375,257.8722229003906,51320000,15.2586669921875,267.1179946899414,216.8489990234375,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
259.1600036621094,261.5199890136719,237.72999572753906,239.49000549316406,239.14891052246094,60547200,15.804667154947916,267.1179946899414,216.8489990234375,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
239.33999633789062,248.75,237.5500030517578,242.6699981689453,242.3243865966797,44042400,14.890000406901041,267.1179946899414,216.8489990234375,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
249.49000549316406,265.45001220703125,247.83999633789062,264.95001220703125,264.5726623535156,69986900,15.49400126139323,267.1179946899414,216.8489990234375,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
262.5899963378906,265.82000732421875,255.52000427246094,265.1099853515625,264.732421875,73267600,15.009334309895833,267.1179946899414,216.8489990234375,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
256.29998779296875,257.8500061035156,241.64999389648438,245.07000732421875,244.72097778320312,81059500,15.026667277018229,267.1179946899414,216.8489990234375,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
246.67999267578125,249.86000061035156,231.0,236.4199981689453,236.0833282470703,76125500,15.242667643229167,267.1179946899414,216.8489990234375,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
230.35000610351562,240.63999938964844,230.0,233.89999389648438,233.56690979003906,63342200,14.839334106445312,267.1179946899414,216.8489990234375,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
238.02000427246094,241.5500030517578,223.00999450683594,223.8699951171875,223.55117797851562,56651100,15.238667805989584,267.1179946899414,216.8489990234375,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
210.14999389648438,238.0,208.89999389648438,237.47999572753906,237.1417999267578,73580100,16.336000569661458,267.1179946899414,216.8489990234375,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
237.2100067138672,242.1699981689453,233.80999755859375,241.57000732421875,241.22596740722656,52886600,15.918667602539063,267.1179946899414,216.8489990234375,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
239.9199981689453,246.64999389648438,237.07000732421875,243.85000610351562,243.50271606445312,47731900,15.888666788736979,267.1179946899414,216.8489990234375,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
242.91000366210938,243.77000427246094,231.32000732421875,234.77000427246094,234.43565368652344,41205600,16.07066650390625,267.1179946899414,216.8489990234375,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
237.55999755859375,244.08999633789062,234.14999389648438,242.1999969482422,241.89625549316406,38964200,15.9,267.1179946899414,216.8489990234375,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
242.6199951171875,243.25999450683594,234.69000244140625,237.13999938964844,236.84262084960938,36509500,15.393332926432292,267.1179946899414,216.8489990234375,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
