Open,High,Low,Close,Adj Close,Volume,atr,upperband,lowerband,signals,buy_positions,sell_positions,investment,cumulative_balance,pl,cumPL,Max Drawdown,Profit
17001.55078125,17309.150390625,16836.80078125,17277.94921875,17277.94921875,326500,246.6554457720588,18306.252814797794,15839.698357077206,,,,100.0,100.0,0.0,0.0,0.0,0.0
17062.0,17182.5,16866.75,17110.150390625,17110.150390625,395600,255.35248161764707,18301.387408088234,15839.698357077206,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
17208.30078125,17373.5,17077.099609375,17101.94921875,17101.94921875,355300,259.0202205882353,18301.387408088234,15930.198701746323,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
17301.05078125,17410.0,17264.150390625,17339.849609375,17339.849609375,321700,265.62028952205884,18301.387408088234,16008.973747702206,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
17529.44921875,17622.400390625,17244.55078125,17576.849609375,17576.849609375,386400,271.9820772058824,18301.387408088234,16073.565199908087,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
17706.19921875,17794.599609375,17674.80078125,17780.0,17780.0,271200,272.99977022058823,18301.387408088234,16369.70134420956,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
17767.75,17781.150390625,17511.150390625,17560.19921875,17560.19921875,226600,276.83800551470586,18301.387408088234,16369.70134420956,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
17590.19921875,17617.80078125,17462.55078125,17516.30078125,17516.30078125,261400,279.09685202205884,18301.387408088234,16369.70134420956,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
17456.30078125,17536.75,17119.400390625,17213.599609375,17213.599609375,265000,293.51746323529414,18301.387408088234,16369.70134420956,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
17279.849609375,17306.44921875,17043.650390625,17266.75,17266.75,268500,302.59685202205884,18301.387408088234,16369.70134420956,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
17370.099609375,17477.150390625,17339.0,17463.80078125,17463.80078125,236400,305.1322380514706,18301.387408088234,16369.70134420956,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
17554.099609375,17639.44921875,17427.150390625,17605.849609375,17605.849609375,273600,312.1615349264706,18301.387408088234,16369.70134420956,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
17451.0,17454.75,17303.0,17374.75,17374.75,253100,314.3851102941176,18301.387408088234,16369.70134420956,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
17076.150390625,17099.5,16809.650390625,16842.80078125,16842.80078125,305500,333.25574448529414,18301.387408088234,16369.70134420956,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
16933.25,17375.0,16839.25,17352.44921875,17352.44921875,298700,347.40280330882354,18301.387408088234,16369.70134420956,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
17408.44921875,17490.599609375,17257.69921875,17322.19921875,17322.19921875,244500,345.15280330882354,18301.387408088234,16369.70134420956,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
17396.55078125,17442.900390625,17235.849609375,17304.599609375,17304.599609375,232100,320.90280330882354,18301.387408088234,16369.70134420956,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
17236.05078125,17380.80078125,17219.19921875,17276.30078125,17276.30078125,189600,302.62350643382354,18301.387408088234,16369.70134420956,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
17192.25,17351.05078125,17070.69921875,17206.650390625,17206.650390625,215200,294.92658547794116,18301.387408088234,16369.70134420956,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
16847.94921875,17148.55078125,16843.80078125,17092.19921875,17092.19921875,300100,298.8353630514706,18301.387408088234,16369.70134420956,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
17194.5,17220.69921875,17027.849609375,17063.25,17063.25,200200,292.05882352941177,18301.387408088234,16369.70134420956,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
16548.900390625,16705.25,16203.25,16247.9501953125,16247.9501953125,458000,320.4206112132353,18056.353056066175,16369.70134420956,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0
16515.650390625,16748.80078125,16478.30078125,16658.400390625,16658.400390625,329800,337.0735868566176,18056.353056066175,14928.182846966913,-1.0,,16658.400390625,100.0,99.14307498527688,-0.008569250147231226,-0.008569250147231226,-0.8569250147231173,-0.8569250147231173
16481.599609375,16815.900390625,16356.2998046875,16793.900390625,16793.900390625,404200,348.2265625,18056.353056066175,14928.182846966913,0.0,,,99.14307498527688,99.14307498527688,0.0,-0.008569250147231226,-0.8569250147231173,-0.8569250147231173
16593.099609375,16678.5,16478.650390625,16605.94921875,16605.94921875,517700,357.6383272058824,18056.353056066175,14928.182846966913,0.0,,,99.14307498527688,99.14307498527688,0.0,-0.008569250147231226,-0.8569250147231173,-0.8569250147231173
16723.19921875,16768.94921875,16442.94921875,16498.05078125,16498.05078125,442100,352.26482077205884,18056.353056066175,14928.182846966913,0.0,,,99.14307498527688,99.14307498527688,0.0,-0.008569250147231226,-0.8569250147231173,-0.8569250147231173
16339.4501953125,16456.0,16133.7998046875,16245.349609375,16245.349609375,456100,358.23259420955884,18056.353056066175,14928.182846966913,0.0,,,99.14307498527688,99.14307498527688,0.0,-0.008569250147231226,-0.8569250147231173,-0.8569250147231173
15867.9501953125,15944.599609375,15711.4501953125,15863.150390625,15863.150390625,585400,377.26194852941177,17714.33464499081,14928.182846966913,0.0,,,99.14307498527688,99.14307498527688,0.0,-0.008569250147231226,-0.8569250147231173,-0.8569250147231173
